THIGH_ANG SHIN_ANG THIGH_ACCEL VERT_ACCEL
4.64 -35.39 0.97 1.02
5.39 -33.05 1.0 0.99
6.87 -31.75 1.03 0.98
8.31 -28.36 1.0 0.96
9.78 -26.27 1.02 1.0
10.53 -23.64 1.0 1.03
11.84 -20.69 1.02 0.99
12.28 -17.37 1.04 0.99
13.95 -15.69 1.04 1.01
13.94 -12.54 1.03 0.98
14.59 -10.32 1.05 0.99
16.09 -7.16 1.02 0.98
16.98 -3.57 1.05 1.03
16.49 -2.01 1.08 0.95
17.22 0.57 1.06 1.01
17.7 2.75 1.1 1.03
18.12 4.14 1.11 1.01
18.05 7.16 1.08 1.07
18.47 8.69 1.09 0.99
18.66 10.02 1.12 0.99
17.51 10.48 1.09 1.04
18.17 11.79 1.11 1.01
17.48 12.86 1.16 1.05
17.43 13.21 1.15 0.92
17.14 13.6 1.18 1.02
17.08 13.22 1.17 1.06
16.09 13.04 1.19 2.06
15.61 12.92 1.2 2.01
14.58 12.51 1.21 2.07
13.76 11.39 1.19 2.06
13.63 11.04 1.26 2.08
13.14 9.5 1.22 2.1
12.35 8.88 1.26 2.04
11.35 7.25 1.28 1.0
11.22 6.76 1.25 1.0
11.22 5.32 1.27 1.05
9.5 4.21 1.26 1.01
9.32 3.22 1.29 1.02
8.83 1.4 1.31 1.01
8.24 0.14 1.34 1.01
7.52 -0.76 1.33 0.94
7.07 -1.78 1.35 0.99
6.7 -2.82 1.34 1.0
6.55 -4.39 1.38 1.0
5.57 -4.63 1.34 1.0
5.44 -5.29 1.36 0.98
5.65 -6.16 1.32 0.98
4.94 -5.79 1.36 0.98
3.3 -7.28 1.33 0.96
4.49 -6.94 1.33 0.99
4.52 -6.81 1.36 1.05
4.07 -6.05 1.38 1.04
3.67 -6.45 1.35 1.0
3.48 -5.48 1.37 1.01
3.26 -5.88 1.35 1.01
2.14 -4.95 1.36 0.99
2.27 -4.11 1.35 0.99
2.2 -4.85 1.37 0.96
2.04 -3.76 1.33 0.98
2.22 -3.58 1.31 1.04
1.8 -2.69 1.35 1.03
0.99 -2.72 1.37 1.01
0.78 -2.86 1.32 0.97
0.14 -2.15 1.34 1.0
-0.37 -1.97 1.32 0.98
-1.4 -1.85 1.32 1.06
-1.74 -1.98 1.3 1.02
-2.29 -2.48 1.28 0.99
-3.07 -2.78 1.3 0.98
-3.8 -3.49 1.27 1.02
-4.73 -4.96 1.27 1.0
-4.79 -5.26 1.22 0.98
-4.48 -6.91 1.26 0.98
-5.83 -7.7 1.27 0.98
-6.79 -9.2 1.22 0.96
-7.01 -10.49 1.19 0.97
-7.44 -12.96 1.17 1.03
-8.7 -14.34 1.17 1.0
-8.11 -15.64 1.18 1.01
-8.81 -17.99 1.13 1.04
-8.56 -19.91 1.14 0.99
-9.6 -21.69 1.12 0.95
